index,original_file_name,relative_path,is_research_paper,suggested_new_filename,final_new_filename,status,message
10,1-s2.0-S0012825225000522-main.pdf,test1/1-s2.0-S0012825225000522-main.pdf,True,Shi C et al.-2025-ESR-Review of sediment connectivity Conceptual connotations characterization indicators and their relationships with soil.pdf,Shi C et al.-2025-ESR-Review of sediment connectivity Conceptual connotations characterization indicators and their relationships with soil.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Shi C et al.-2025-ESR-Review of sediment connectivity Conceptual connotations characterization indicators and their relationships with soil.pdf
11,1-s2.0-S0169555X19304532-main.pdf,test1/1-s2.0-S0169555X19304532-main.pdf,True,Zanandrea F et al.-2020-Geomorphology-Impedance influence on the index of sediment connectivity in a forested mountainous catchment.pdf,Zanandrea F et al.-2020-Geomorphology-Impedance influence on the index of sediment connectivity in a forested mountainous catchment.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Zanandrea F et al.-2020-Geomorphology-Impedance influence on the index of sediment connectivity in a forested mountainous catchment.pdf
12,1-s2.0-S0169555X20305249-main.pdf,test1/1-s2.0-S0169555X20305249-main.pdf,True,Zhang J et al.-2021-Geomorphology-Reconstructing the incision of the Lancang River Upper Mekong in southeastern Tibet below its prominent kn.pdf,Zhang J et al.-2021-Geomorphology-Reconstructing the incision of the Lancang River Upper Mekong in southeastern Tibet below its prominent kn.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Zhang J et al.-2021-Geomorphology-Reconstructing the incision of the Lancang River Upper Mekong in southeastern Tibet below its prominent kn.pdf
13,1-s2.0-S1871101423000018-main.pdf,test1/1-s2.0-S1871101423000018-main.pdf,True,Souza PE et al.-2023-Quaternary Geochronology-Quartz OSL sensitivity from dating data for provenance analysis of pleistocene and holocene fl.pdf,Souza PE et al.-2023-Quaternary Geochronology-Quartz OSL sensitivity from dating data for provenance analysis of pleistocene and holocene fl.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Souza PE et al.-2023-Quaternary Geochronology-Quartz OSL sensitivity from dating data for provenance analysis of pleistocene and holocene fl.pdf
14,10.13 - Quantifying Sediment (Dis)Connectivity in the Modeling of River Systems.pdf,test1/10.13 - Quantifying Sediment (Dis)Connectivity in the Modeling of River Systems.pdf,False,,,skipped,Not a research paper
15,111.pdf,test1/111.pdf,False,,,skipped,Not a research paper
16,1739174941_23156_c883db848c85f2a3f0d9ea924dc6e1e3.pdf,test1/1739174941_23156_c883db848c85f2a3f0d9ea924dc6e1e3.pdf,True,Lague D-2013-ESPL-The stream power river incision model evidence theory and beyond.pdf,Lague D-2013-ESPL-The stream power river incision model evidence theory and beyond.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Lague D-2013-ESPL-The stream power river incision model evidence theory and beyond.pdf
17,1739180411_94015_a145a3232da06bcc2f6c0f6aec2552d1.pdf,test1/1739180411_94015_a145a3232da06bcc2f6c0f6aec2552d1.pdf,True,Straub KM et al.-2020-JGR-Buffered incomplete and shredded The challenges of reading an imperfect stratigraphic record.pdf,Straub KM et al.-2020-JGR-Buffered incomplete and shredded The challenges of reading an imperfect stratigraphic record.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Straub KM et al.-2020-JGR-Buffered incomplete and shredded The challenges of reading an imperfect stratigraphic record.pdf
18,1756916460_71480_1b83ff7f2f439ffda396d6d7169df9ea.pdf,test1/1756916460_71480_1b83ff7f2f439ffda396d6d7169df9ea.pdf,True,Saucier RT-1996-Engineering Geology-A contemporary appraisal of some key Fiskian concepts with emphasis on Holocene meander belt formation and morphology.pdf,Saucier RT-1996-Engineering Geology-A contemporary appraisal of some key Fiskian concepts with emphasis on Holocene meander belt formation and morphology.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Saucier RT-1996-Engineering Geology-A contemporary appraisal of some key Fiskian concepts with emphasis on Holocene meander belt formation and morphology.pdf
19,1756927350_79612_5f38bf56dc9edc1fb95b804986314ebd_1756927265.pdf,test1/1756927350_79612_5f38bf56dc9edc1fb95b804986314ebd_1756927265.pdf,True,Wittmann H et al.-2011-Geology-Recycling of Amazon floodplain sediment quantified by cosmogenic 26Al and 10Be.pdf,Wittmann H et al.-2011-Geology-Recycling of Amazon floodplain sediment quantified by cosmogenic 26Al and 10Be.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Wittmann H et al.-2011-Geology-Recycling of Amazon floodplain sediment quantified by cosmogenic 26Al and 10Be.pdf
20,1999jb900120.pdf,test1/1999jb900120.pdf,True,Whipple KX & Tucker GE-1999-JGR-Dynamics of the stream-power river incision model Implications for height limits of mountain ranges landscap.pdf,Whipple KX & Tucker GE-1999-JGR-Dynamics of the stream-power river incision model Implications for height limits of mountain ranges landscap.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Whipple KX & Tucker GE-1999-JGR-Dynamics of the stream-power river incision model Implications for height limits of mountain ranges landscap.pdf
21,2003Lehmkuhletal_GeomorphologischeFormungs-undProzessregioneninZentralasien.pdf,test1/2003Lehmkuhletal_GeomorphologischeFormungs-undProzessregioneninZentralasien.pdf,True,Lehmkuhl F-1997-GR-The natural landscape of High Asia and Central Asia.pdf,Lehmkuhl F-1997-GR-The natural landscape of High Asia and Central Asia.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Lehmkuhl F-1997-GR-The natural landscape of High Asia and Central Asia.pdf
22,2009—2018年国内外...川沉积物研究现状及热点分析_张威.pdf,test1/2009—2018年国内外...川沉积物研究现状及热点分析_张威.pdf,True,张威 et al.-2020-JCNU-20092018年国内外冰川沉积物研究现状及热点分析.pdf,张威 et al.-2020-JCNU-20092018年国内外冰川沉积物研究现状及热点分析.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/张威 et al.-2020-JCNU-20092018年国内外冰川沉积物研究现状及热点分析.pdf
23,2015_Schmidt_knickpoint+He+Yarlung.pdf,test1/2015_Schmidt_knickpoint+He+Yarlung.pdf,True,Schmidt J et al.-2015-EPSL-Knickpoint evolution on the Yarlung river Evidence for late Cenozoic uplift of the southeastern Tibetan plateau margin.pdf,Schmidt J et al.-2015-EPSL-Knickpoint evolution on the Yarlung river Evidence for late Cenozoic uplift of the southeastern Tibetan plateau margin.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Schmidt J et al.-2015-EPSL-Knickpoint evolution on the Yarlung river Evidence for late Cenozoic uplift of the southeastern Tibetan plateau margin.pdf
24,2016_Lanetal_SedimentConnectivity.pdf,test1/2016_Lanetal_SedimentConnectivity.pdf,True,Lane SN et al.-2016-Geomorphology-Sediment export transient landscape response and catchment-scale connectivity following rapid climate warm.pdf,Lane SN et al.-2016-Geomorphology-Sediment export transient landscape response and catchment-scale connectivity following rapid climate warm.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Lane SN et al.-2016-Geomorphology-Sediment export transient landscape response and catchment-scale connectivity following rapid climate warm.pdf
25,2017 南美填充-下切循环-EPSL-100 kyr fluvial cut-and-fill terrace cycles .pdf,test1/2017 南美填充-下切循环-EPSL-100 kyr fluvial cut-and-fill terrace cycles .pdf,True,Tofelde S et al.-2017-EPSL-100 kyr fluvial cut and fill terrace cycles since the Middle Pleistocene in the southern Central Andes NW Argentina.pdf,Tofelde S et al.-2017-EPSL-100 kyr fluvial cut and fill terrace cycles since the Middle Pleistocene in the southern Central Andes NW Argentina.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Tofelde S et al.-2017-EPSL-100 kyr fluvial cut and fill terrace cycles since the Middle Pleistocene in the southern Central Andes NW Argentina.pdf
26,2018-ShiX.-Earth_Surface_Processes_and_Landforms.pdf,test1/2018-ShiX.-Earth_Surface_Processes_and_Landforms.pdf,True,Shi X et al.-2018-ESPL-Spatiotemporal variations of suspended sediment transport in the upstream and midstream of the Yarlung Tsangpo River.pdf,Shi X et al.-2018-ESPL-Spatiotemporal variations of suspended sediment transport in the upstream and midstream of the Yarlung Tsangpo River.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Shi X et al.-2018-ESPL-Spatiotemporal variations of suspended sediment transport in the upstream and midstream of the Yarlung Tsangpo River.pdf
27,2020_Borgohain_QSR_Megafloods_Highdenudation_NamcheBarwa_all.pdf,test1/2020_Borgohain_QSR_Megafloods_Highdenudation_NamcheBarwa_all.pdf,True,Borgohain B-2020-QSR-Evidence of episodically accelerated denudation on the Namche Barwa massif by megafloods.pdf,Borgohain B-2020-QSR-Evidence of episodically accelerated denudation on the Namche Barwa massif by megafloods.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Borgohain B-2020-QSR-Evidence of episodically accelerated denudation on the Namche Barwa massif by megafloods.pdf
28,2020_Schwanghart_Geology_Divide mobility controls knickpoint migration on the Roan Plateau.pdf,test1/2020_Schwanghart_Geology_Divide mobility controls knickpoint migration on the Roan Plateau.pdf,True,Schwanghart W & Scherler D-2020-Geology-Divide mobility controls knickpoint migration on the Roan Plateau Colorado USA.pdf,Schwanghart W & Scherler D-2020-Geology-Divide mobility controls knickpoint migration on the Roan Plateau Colorado USA.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Schwanghart W & Scherler D-2020-Geology-Divide mobility controls knickpoint migration on the Roan Plateau Colorado USA.pdf
29,2023.2.25Xiongetal.JGREarthSurface.pdf,test1/2023.2.25Xiongetal.JGREarthSurface.pdf,True,Xiong J et al.-2023-JGRES-Proximal Supply in Loess Deposition of the Chinese Loess Plateau.pdf,Xiong J et al.-2023-JGRES-Proximal Supply in Loess Deposition of the Chinese Loess Plateau.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Xiong J et al.-2023-JGRES-Proximal Supply in Loess Deposition of the Chinese Loess Plateau.pdf
30,20250330-沈勤径-构造地质学与地球动力学.pdf,test1/20250330-沈勤径-构造地质学与地球动力学.pdf,False,,,skipped,Not a research paper
31,202506-沈勤径-释光灵敏度.pdf,test1/202506-沈勤径-释光灵敏度.pdf,False,,,skipped,Not a research paper
32,2025APLED_abstract_QJ Shen.pdf,test1/2025APLED_abstract_QJ Shen.pdf,True,Shen Q et al.-2025-AES-Glacial-Interglacial Shifts in Sediment Provenance Revealed by Luminescence Sensitivity Case Study Aba Basin Eastern Tibetan Plateau.pdf,Shen Q et al.-2025-AES-Glacial-Interglacial Shifts in Sediment Provenance Revealed by Luminescence Sensitivity Case Study Aba Basin Eastern Tibetan Plateau.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Shen Q et al.-2025-AES-Glacial-Interglacial Shifts in Sediment Provenance Revealed by Luminescence Sensitivity Case Study Aba Basin Eastern Tibetan Plateau.pdf
33,233407a0.pdf,test1/233407a0.pdf,True,Atkinson IAE & Swindale LD-1971-Nature-Experimental Study of Channel Patterns.pdf,Atkinson IAE & Swindale LD-1971-Nature-Experimental Study of Channel Patterns.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Atkinson IAE & Swindale LD-1971-Nature-Experimental Study of Channel Patterns.pdf
34,26Al and 10Be concentrations from alluvial drill cores across the Indo-Gangetic plain reveal multimillion-year sediment-transport lag times.pdf,test1/26Al and 10Be concentrations from alluvial drill cores across the Indo-Gangetic plain reveal multimillion-year sediment-transport lag times.pdf,True,Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across the IndoGangetic plain reveal multimillionyea.pdf,Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across the IndoGangetic plain reveal multimillionyea.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bhattacharjee S et al.-2023-EPSL-26Al and 10Be concentrations from alluvial drill cores across the IndoGangetic plain reveal multimillionyea.pdf
35,3.U-Pb数据处理教程LA-ICP-MS数据处理步骤_修改(新).pdf,test1/3.U-Pb数据处理教程LA-ICP-MS数据处理步骤_修改(新).pdf,False,,,skipped,Not a research paper
36,4250021794_高精度年代学及物源示踪约束下的阿坝盆地源-汇系统与地貌演化.pdf,test1/4250021794_高精度年代学及物源示踪约束下的阿坝盆地源-汇系统与地貌演化.pdf,False,,,skipped,Not a research paper
37,48304.pdf,test1/48304.pdf,True,Bridgland D & Westaway R-2008-CCRTS-Climatically controlled river terrace staircases a worldwide Quaternary phenomenon.pdf,Bridgland D & Westaway R-2008-CCRTS-Climatically controlled river terrace staircases a worldwide Quaternary phenomenon.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bridgland D & Westaway R-2008-CCRTS-Climatically controlled river terrace staircases a worldwide Quaternary phenomenon.pdf
38,5001224.pdf,test1/5001224.pdf,True,Yang R et al.-2020-EPSL-Early Pleistocene drainage pattern changes in Eastern Tibet Constraints from provenance analysis thermochronometry a.pdf,Yang R et al.-2020-EPSL-Early Pleistocene drainage pattern changes in Eastern Tibet Constraints from provenance analysis thermochronometry a.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Yang R et al.-2020-EPSL-Early Pleistocene drainage pattern changes in Eastern Tibet Constraints from provenance analysis thermochronometry a.pdf
39,AGU Advances - 2025 - Bernard - Production and Preservation of Elevated Low‐Relief Surfaces in Mountainous Landscapes by.pdf,test1/AGU Advances - 2025 - Bernard - Production and Preservation of Elevated Low‐Relief Surfaces in Mountainous Landscapes by.pdf,True,Bernard M et al.-2025-AGU Advances-Production and Preservation of Elevated Low Relief Surfaces in Mountainous Landscapes by Pliocene Quaternary Glaciations.pdf,Bernard M et al.-2025-AGU Advances-Production and Preservation of Elevated Low Relief Surfaces in Mountainous Landscapes by Pliocene Quaternary Glaciations.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bernard M et al.-2025-AGU Advances-Production and Preservation of Elevated Low Relief Surfaces in Mountainous Landscapes by Pliocene Quaternary Glaciations.pdf
40,AOGS 2025 Membership Proof.pdf,test1/AOGS 2025 Membership Proof.pdf,False,,,skipped,Not a research paper
41,AOGS指南.pdf,test1/AOGS指南.pdf,False,,,skipped,Not a research paper
42,A_Simple_Agent-Based_Model_That_Reproduces_All_Typ.pdf,test1/A_Simple_Agent-Based_Model_That_Reproduces_All_Typ.pdf,True,Robson DT & Baas ACW-2023-GRL-A Simple Agent-Based Model That Reproduces All Types of Barchan Interactions.pdf,Robson DT & Baas ACW-2023-GRL-A Simple Agent-Based Model That Reproduces All Types of Barchan Interactions.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Robson DT & Baas ACW-2023-GRL-A Simple Agent-Based Model That Reproduces All Types of Barchan Interactions.pdf
43,Aitken-1998.pdf,test1/Aitken-1998.pdf,False,,,skipped,Not a research paper
44,"Alizai A et al.-2011-GPC-Sediment provenance, reworking and transport processes in the Indus River by U–Pb dating of detrital zircon grains.pdf","test1/Alizai A et al.-2011-GPC-Sediment provenance, reworking and transport processes in the Indus River by U–Pb dating of detrital zircon grains.pdf",True,Alizai A et al.-2011-GPC-Sediment provenance reworking and transport processes in the Indus River by UPb dating of detrital zircon grains.pdf,Alizai A et al.-2011-GPC-Sediment provenance reworking and transport processes in the Indus River by UPb dating of detrital zircon grains.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Alizai A et al.-2011-GPC-Sediment provenance reworking and transport processes in the Indus River by UPb dating of detrital zircon grains.pdf
45,Aridity is expressed in river topography globally.pdf,test1/Aridity is expressed in river topography globally.pdf,True,Chen SA et al.-2019-Nature-Aridity is expressed in river topography globally.pdf,Chen SA et al.-2019-Nature-Aridity is expressed in river topography globally.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Chen SA et al.-2019-Nature-Aridity is expressed in river topography globally.pdf
46,Armitage et al.-2018-ESD-Numerical modelling of landscape and sediment flux response to precipitation rate change.pdf,test1/Armitage et al.-2018-ESD-Numerical modelling of landscape and sediment flux response to precipitation rate change.pdf,True,Armitage J et al.-2018-ESD-Numerical modelling of landscape and sediment flux response to precipitation rate change.pdf,Armitage J et al.-2018-ESD-Numerical modelling of landscape and sediment flux response to precipitation rate change.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Armitage J et al.-2018-ESD-Numerical modelling of landscape and sediment flux response to precipitation rate change.pdf
47,Bacon manual – v2.3.9.1.pdf,test1/Bacon manual – v2.3.9.1.pdf,False,,,skipped,Not a research paper
48,Bae C et al.-2017-Science-On the origin of modern humans  Asian perspectives.pdf,test1/Bae C et al.-2017-Science-On the origin of modern humans  Asian perspectives.pdf,True,Bae CJ et al.-2017-Science-On the origin of modern humans Asian perspectives.pdf,Bae CJ et al.-2017-Science-On the origin of modern humans Asian perspectives.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bae CJ et al.-2017-Science-On the origin of modern humans Asian perspectives.pdf
49,Ballantyne CK-2002-QSR-Paraglacial geomorphology.pdf,test1/Ballantyne CK-2002-QSR-Paraglacial geomorphology.pdf,True,Ballantyne CK-2002-QSR-Paraglacial geomorphology.pdf,Ballantyne CK-2002-QSR-Paraglacial geomorphology (2).pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Ballantyne CK-2002-QSR-Paraglacial geomorphology (2).pdf
50,"Barker et al-2025-Science-Distinct roles for precession, obliquity, and eccentricity in Pleistocene 100-kyr glacial cycles.pdf","test1/Barker et al-2025-Science-Distinct roles for precession, obliquity, and eccentricity in Pleistocene 100-kyr glacial cycles.pdf",True,Barker S et al.-2025-Science-Distinct roles for precession obliquity and eccentricity in Pleistocene 100kyr glacial cycles.pdf,Barker S et al.-2025-Science-Distinct roles for precession obliquity and eccentricity in Pleistocene 100kyr glacial cycles.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Barker S et al.-2025-Science-Distinct roles for precession obliquity and eccentricity in Pleistocene 100kyr glacial cycles.pdf
51,Barnard PL et al.-2001-Geomorphology-Natural and human-induced landsliding in the Garhwal Himalaya of northern India.pdf,test1/Barnard PL et al.-2001-Geomorphology-Natural and human-induced landsliding in the Garhwal Himalaya of northern India.pdf,True,Barnard PL et al.-2001-Geomorphology-Natural and human-induced landsliding in the Garhwal Himalaya of northern India.pdf,Barnard PL et al.-2001-Geomorphology-Natural and human-induced landsliding in the Garhwal Himalaya of northern India (2).pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Barnard PL et al.-2001-Geomorphology-Natural and human-induced landsliding in the Garhwal Himalaya of northern India (2).pdf
52,Barras C-2021-Nature-How did ancient humans learn to count.pdf,test1/Barras C-2021-Nature-How did ancient humans learn to count.pdf,True,Barras C-2021-Nature-HOW DID ANCIENT HUMANS LEARN TO COUNT.pdf,Barras C-2021-Nature-HOW DID ANCIENT HUMANS LEARN TO COUNT (2).pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Barras C-2021-Nature-HOW DID ANCIENT HUMANS LEARN TO COUNT (2).pdf
53,Basso S et al.-2023-NG-Extreme flooding controlled by stream network organization and flow regime.pdf,test1/Basso S et al.-2023-NG-Extreme flooding controlled by stream network organization and flow regime.pdf,True,Basso S et al.-2023-NG-Extreme flooding controlled by stream network organization and flow regime.pdf,Basso S et al.-2023-NG-Extreme flooding controlled by stream network organization and flow regime (2).pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Basso S et al.-2023-NG-Extreme flooding controlled by stream network organization and flow regime (2).pdf
54,BaynesE et al-2015-PNAS-Erosion during extreme flood events dominates Holocene canyon evolution in Iceland.pdf,test1/BaynesE et al-2015-PNAS-Erosion during extreme flood events dominates Holocene canyon evolution in Iceland.pdf,True,Baynes ERC et al.-2015-PNAS-Erosion during extreme flood events dominates Holocene canyon evolution in northeast Iceland.pdf,Baynes ERC et al.-2015-PNAS-Erosion during extreme flood events dominates Holocene canyon evolution in northeast Iceland.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Baynes ERC et al.-2015-PNAS-Erosion during extreme flood events dominates Holocene canyon evolution in northeast Iceland.pdf
55,Becerra-Valdivia L et al.-2017-JHE-Chronometric investigations of the Middle to Upper Paleolithic transition in the Zagros Mountains using AMS radiocarbon dating and Bayesian age modelling.pdf,test1/Becerra-Valdivia L et al.-2017-JHE-Chronometric investigations of the Middle to Upper Paleolithic transition in the Zagros Mountains using AMS radiocarbon dating and Bayesian age modelling.pdf,True,Becerra-Valdivia L et al.-2017-JHE-Chronometric investigations of the Middle to Upper Paleolithic transition in the Zagros Mountains using A.pdf,Becerra-Valdivia L et al.-2017-JHE-Chronometric investigations of the Middle to Upper Paleolithic transition in the Zagros Mountains using A.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Becerra-Valdivia L et al.-2017-JHE-Chronometric investigations of the Middle to Upper Paleolithic transition in the Zagros Mountains using A.pdf
56,"Blum M et al.-2013-ESR-Paleovalley systems, Insights from Quaternary analogs and experiments.pdf","test1/Blum M et al.-2013-ESR-Paleovalley systems, Insights from Quaternary analogs and experiments.pdf",True,Blum M et al.-2013-ESR-Paleovalley systems Insights from Quaternary analogs and experiments.pdf,Blum M et al.-2013-ESR-Paleovalley systems Insights from Quaternary analogs and experiments.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Blum M et al.-2013-ESR-Paleovalley systems Insights from Quaternary analogs and experiments.pdf
57,Bufe A et al.-2016-NG-luvial bevelling of topography controlled by lateral channel mobility and uplift rate..pdf,test1/Bufe A et al.-2016-NG-luvial bevelling of topography controlled by lateral channel mobility and uplift rate..pdf,True,Bufe A et al.-2016-NG-Fluvial bevelling of topography controlled by lateral channel mobility and uplift rate.pdf,Bufe A et al.-2016-NG-Fluvial bevelling of topography controlled by lateral channel mobility and uplift rate.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bufe A et al.-2016-NG-Fluvial bevelling of topography controlled by lateral channel mobility and uplift rate.pdf
58,"Bufe A et al.-2017-JGR-Variations of Lateral Bedrock Erosion Rates ControlPlanation of Uplifting Folds in the Forelandof the Tian Shan, NW China.pdf","test1/Bufe A et al.-2017-JGR-Variations of Lateral Bedrock Erosion Rates ControlPlanation of Uplifting Folds in the Forelandof the Tian Shan, NW China.pdf",True,Bufe A et al.-2017-JGR-Variations of Lateral Bedrock Erosion Rates Control Planation of Uplifting Folds in the Foreland of the Tian Shan NW China.pdf,Bufe A et al.-2017-JGR-Variations of Lateral Bedrock Erosion Rates Control Planation of Uplifting Folds in the Foreland of the Tian Shan NW China.pdf,renamed,Renamed to: /Users/pz/VScode/OSL_source_ana/test1/Bufe A et al.-2017-JGR-Variations of Lateral Bedrock Erosion Rates Control Planation of Uplifting Folds in the Foreland of the Tian Shan NW China.pdf
